date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
20210518,79,61,-8,0,-100,81,-100,-80,100,0,100,-60,100,93,39,76,23,70,0,18,-100,0,100,100,-12,24,21,29,-44,-22
20210519,28,0,100,100,-31,0,-100,0,97,0,-99,0,-67,78,77,0,-100,100,0,100,1,0,100,-100,100,70,100,100,-100,-75
20210520,100,76,-25,-100,-6,39,-36,-31,-91,0,-75,0,100,-100,-100,0,-47,100,0,-100,1,0,-100,100,-27,96,100,0,-100,0
20210521,0,85,-100,0,0,0,100,-93,-100,1,-64,58,0,-100,-46,-35,72,-91,0,0,-62,0,-100,-100,-47,100,100,100,83,10
20210524,-38,0,0,0,1,-100,-24,-31,-20,0,100,-58,100,-69,-22,-100,100,0,0,-9,-100,0,-100,-15,0,62,0,100,1,0
20210525,-64,-100,0,0,100,0,-100,0,0,0,0,0,0,0,-67,0,100,0,0,0,-13,0,-76,0,1,0,70,-62,-9,0
20210526,-100,0,100,0,100,-39,2,0,0,0,0,0,-99,-19,-71,-24,-33,-1,0,-40,0,0,0,0,0,0,72,-55,0,100
20210527,100,-51,-100,0,-19,0,-58,-100,17,100,100,0,-37,0,0,88,-19,-100,0,0,0,0,0,0,-27,0,0,-62,-85,1
20210528,0,0,-100,0,-80,-3,-67,-100,0,0,0,0,-37,0,0,0,0,100,0,0,0,0,0,0,0,92,0,0,1,100
20210601,1,0,0,0,100,-52,0,-75,1,-34,-51,0,0,0,100,-7,-18,-74,0,-100,0,100,0,0,0,75,-87,-23,100,0
20210602,-72,0,0,0,0,-6,-37,0,98,0,0,0,0,0,100,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0
20210603,-80,-100,68,0,0,0,0,0,0,-67,-2,0,-56,0,0,100,0,100,0,-1,100,0,0,100,100,-3,0,0,-53,-100
20210604,100,0,100,0,-100,0,100,0,0,0,0,0,0,0,-100,0,0,-70,0,0,0,0,0,-100,1,42,0,-100,1,0
20210607,-100,-8,0,0,0,0,0,0,0,1,-8,0,0,0,0,-44,0,-5,0,0,0,-1,0,0,22,0,100,0,-32,0
20210608,-39,-100,84,0,-100,0,100,0,0,-1,-46,100,-46,0,-67,-67,-100,0,0,-88,0,0,0,0,34,78,99,76,-17,100
20210609,0,-62,2,0,100,0,100,0,-54,100,0,-100,100,0,100,-3,-13,-100,0,-100,-62,-26,0,0,-100,5,100,100,0,100
20210610,0,100,100,0,-99,0,0,0,60,1,0,0,0,0,0,0,-89,0,0,0,-38,0,0,0,100,-16,-26,-22,0,-100
20210611,-49,-100,0,0,0,68,100,0,-100,0,0,100,-100,0,-44,0,0,-2,0,-19,1,0,0,0,0,0,100,0,0,0
20210614,-21,100,0,0,-3,-68,0,0,-22,-81,0,-100,0,0,100,0,0,0,0,0,-1,-73,0,0,0,67,100,-5,2,0
20210615,0,14,0,0,0,0,3,0,0,-20,-30,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,100,100
20210616,-100,100,1,0,0,0,100,0,0,0,39,0,0,0,-56,0,0,1,0,-95,0,0,0,0,0,0,0,0,0,-64
20210617,100,0,100,0,0,0,-36,0,0,0,-100,0,0,0,0,0,0,0,100,0,0,0,0,0,-85,-39,59,-19,1,-3
20210618,-100,0,0,0,0,0,0,0,100,0,-2,0,0,0,-49,0,0,-100,0,0,0,44,0,0,-12,0,0,-19,-99,0
20210621,0,-100,0,0,0,0,0,0,0,0,0,0,0,100,-84,0,0,0,-100,0,0,0,0,0,1,0,100,0,0,100
20210622,86,-100,100,0,50,0,-100,0,-50,0,0,0,0,-100,0,0,0,100,0,72,2,0,0,100,-61,-37,0,-8,80,0
20210623,-100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,2,0,-72,-2,0,0,0,0,-29,95,-76,-74,0
20210624,-47,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,94,0,0,0,0,-41,0,-29,0,0,0,-54,100,0
20210625,0,0,0,0,0,0,0,0,0,2,0,0,0,0,100,0,32,0,0,0,0,-3,0,-31,0,0,0,-6,-100,-1
20210628,0,0,0,0,0,0,100,0,-99,76,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
20210629,0,38,0,0,1,0,-89,0,0,-27,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-17,-7,0,0,0
20210630,15,0,0,0,0,0,-34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0
20210701,100,0,100,0,-44,0,-100,0,0,-8,0,0,0,0,-54,100,-24,0,0,0,0,5,0,-36,0,-13,-71,0,1,0
20210702,-58,0,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,4,-100,0,0,0,0,0,0,0,0,0,0,1,100
20210706,-57,0,0,0,0,0,0,0,0,-9,0,0,0,0,100,0,0,-62,0,0,0,-5,0,0,0,85,-96,0,7,-29
20210707,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,100,0,-32,-13,0,0,0,25,0,0,0,0,0,0,-19,-6
20210708,0,100,-21,0,-7,0,-60,0,100,0,0,0,0,0,0,-100,-74,-100,0,0,0,-25,0,1,0,0,38,0,0,-21
